All-forcings,Natural only,Observed,
49.27,47.69,55.43,
45.6,49.26,,
52.17,51.26,,
45.23,48.32,,
46.03,48.21,,
48.49,51.4,,
50.37,52.53,,
46.19,52.7,,
48.23,51.4,,
47.62,53.68,,
49.25,51.33,,
48.21,50.17,,
52.08,51.86,,
47.86,50.81,,
49.29,51.82,,
47.97,51.94,,
51.64,53.94,,
47.61,51.96,,
52.49,50.27,,
47.77,52,,
52.68,54.8,,
50.74,53.43,,
48.25,51.38,,
44.58,54.39,,
51.61,52.63,,
47.16,52.27,,
47.31,51.6,,
44.05,55.64,,
46.55,51.4,,
50.66,53.53,,
52.27,52.62,,
52.32,51.37,,
44.71,52.01,,
47.66,49.86,,
51.14,53.68,,
52.77,54.26,,
47.17,48.44,,
47.63,55.15,,
50.33,49.52,,
53.02,50.64,,
48.18,53.63,,
43.69,53.36,,
49.53,48.6,,
48.75,52.58,,
47.47,50.39,,
47.31,48.26,,
52.9,48.49,,
50.24,52.61,,
46.9,54.59,,
48.89,51.14,,
49.12,53.3,,
46.71,48.72,,
46.59,49.98,,
50.04,52.99,,
48.22,50.28,,
51.38,53.93,,
49.58,46.46,,
48.92,52.29,,
51.13,48.9,,
48.35,50.04,,
49.23,56.74,,
49.34,54.24,,
47.37,51.02,,
52.9,53.38,,
46.84,52.06,,
48.06,55.14,,
44.71,52.48,,
51.14,55.64,,
44.43,55.15,,
49.63,49.56,,
53.28,50.68,,
52.49,53.42,,
51.04,52.1,,
51.98,50.6,,
47.54,48.35,,
47.38,50.9,,
52.39,51.95,,
52.49,53.95,,
49.08,49.93,,
49.78,51.31,,
50.95,53.63,,
49.5,56.31,,
48.02,53.98,,
49.14,50.88,,
51.58,55.25,,
49.34,50.55,,
46.81,54.82,,
50.77,53.1,,
49.82,48.15,,
46.65,51.48,,
47.95,53.43,,
52.83,52.42,,
47.97,52.48,,
49.05,50.44,,
50.2,53.41,,
55.88,48.88,,
51.58,55.5,,
51.99,54.47,,
49.4,51.89,,
47.51,55.65,,
47.53,48.6,,
51.05,51.51,,
50.19,54.82,,
50.47,50.6,,
52.62,50.01,,
47.65,49.22,,
46.61,55.98,,
49.25,49.09,,
51.24,52.47,,
48.35,51.45,,
49.67,57.97,,
45.25,52.74,,
51.64,46.83,,
48.5,53.74,,
47.95,52.3,,
55.48,54.42,,
49.6,52.93,,
43.68,50.52,,
51.05,49.17,,
46.48,53.65,,
47.44,51.66,,
47.01,53.13,,
48.32,54.31,,
51.44,55.9,,
48.77,54.1,,
46.49,52.5,,
48.73,50.22,,
49.5,49.67,,
49.31,52.85,,
48.96,55.04,,
49.93,54.35,,
49.51,52.45,,
47.75,56.63,,
45.44,51.53,,
46.4,49.18,,
49.17,50.04,,
57.32,52.4,,
51.69,52.68,,
48.1,54.06,,
48.56,52.34,,
50.77,51.88,,
47.66,49.89,,
54.88,53.88,,
47.89,49.85,,
48.29,51.82,,
52.01,53.59,,
51.6,48.46,,
50.68,54.08,,
47.37,55.98,,
50.79,50.48,,
49.39,50.39,,
49.38,53.36,,
49.97,52.32,,
45.48,50.5,,
50.08,49.98,,
42.42,47.36,,
44.83,55.26,,
46.11,53.41,,
49.16,51.31,,
47.52,53.83,,
49.15,50.28,,
50.51,52.91,,
53.9,46.79,,
50.06,50.4,,
48.98,53.05,,
