All forcings simulations,Natural forcings only,Observed
2.34,2.45,1.49
4.75,0.93,
2.3,1.04,
4.31,2.47,
2.97,1.24,
3.48,2.08,
3.27,2.07,
4.6,2.05,
2.7,1.74,
2.22,2.02,
1.84,-0.28,
2.92,2.16,
2.58,1.54,
3.44,1.33,
3.85,2.27,
3.38,0.81,
3.23,1.09,
3.59,1.48,
3.08,0.82,
2.17,1.03,
2.21,1.07,
2.94,1.34,
2.17,0.94,
3.29,0.73,
3.14,1.31,
3.5,0.8,
3.94,-0.54,
4.22,1.05,
2.81,1.02,
3.13,0.84,
2.31,1.06,
4.01,0.46,
3.95,2.41,
2.85,0.9,
2.37,-0.18,
1.36,1.4,
2.69,1.63,
2.9,-0.5,
2.3,1.16,
1.79,1.4,
2.61,-0.46,
3.41,-0.34,
1.93,2.14,
3.69,1.11,
2.41,1.31,
2.49,1.46,
3.46,2.14,
0.91,1.54,
2.54,-0.31,
3.98,0.82,
2.01,0.33,
3.28,1.67,
4.66,2.1,
2.34,1.56,
3.28,0.79,
3.65,0.84,
3.58,1.79,
2.65,1.71,
2.1,0.71,
2.58,0.2,
2.41,0.19,
3.8,0.06,
4.76,1.66,
2.89,0.3,
2.88,1.75,
2.93,1.24,
4.12,0.55,
3.65,0.64,
4.5,0.82,
3.25,1.64,
3.32,1.83,
1.98,1.78,
2.62,1.57,
4.49,2.53,
3.25,1.21,
3.31,0.79,
4.12,1.78,
2.08,-0.57,
3.12,0.98,
3.79,1.43,
3.14,0.14,
1.99,0.23,
5.22,1.8,
2.83,2.5,
3.21,-0.64,
3.82,1.84,
3.39,-0.38,
4.01,0.92,
3.67,2.19,
2.38,2.81,
3.85,0.61,
2.31,-0.74,
3.32,1.62,
2.56,1.49,
2.01,1.08,
2.05,1.61,
2.53,-0.16,
3.29,1.4,
1.97,1.55,
3.2,0.04,
2.47,1.54,
3.31,0.85,
3.07,-0.19,
2.32,1.64,
3.17,2.28,
3.61,1.87,
2.74,1.56,
2.62,2.46,
1.96,1.13,
2.97,0.27,
3.22,-0.59,
2.76,0.61,
1.75,1.76,
2.76,1.16,
3.57,1.32,
1.65,0.51,
2.71,1.95,
4.05,1.75,
3.62,1.23,
2.83,0.3,
3.61,0.57,
3.07,1.57,
2.23,0.59,
2.58,0.6,
2.69,0.98,
3.15,0.41,
3.7,2.12,
3.13,1.92,
2.29,-1.34,
4.36,0.06,
2.92,0.13,
4.16,1.46,
2.73,0.74,
4.15,0.65,
3.29,1.23,
3.11,2.56,
1.5,-0.22,
3.09,1.76,
2.81,1,
3.25,-0.08,
3.33,1.86,
3.46,0.81,
1.67,0.74,
4.06,2.11,
4.31,1.57,
1.97,0.87,
2.17,2.67,
2.7,0,
2.82,0.65,
2.25,2.05,
2.75,2.06,
3.43,1.99,
2.76,1.32,
4.97,1.57,
2.11,1.8,
4.2,2.5,
3.74,-0.49,
4.13,1.48,
3.49,2.73,
4.37,0.52,
3.12,0.8,
2.05,1.83,
2.79,4.29,
4.49,1.55,
3.72,1.73,
1.45,1.2,
5.89,1.55,
2.47,0.4,
2.19,0.9,
3.37,3.23,
2.25,1.19,
3.53,2.45,
1.98,0.55,
3.09,0.63,
3.88,1.19,
1.52,0.9,
2.25,1.75,
2.47,1.57,
1.21,0.44,
3.61,1.19,
2.97,1.55,
3.28,1.25,
3.97,0.79,
5.29,1.43,
5.06,2.2,
4.12,1.26,
2.72,0.77,
3.8,0.86,
2.91,-0.12,
2.59,0.01,
3.91,1.27,
4.03,1.04,
3.29,0.9,
2.29,0.77,
3.56,1.2,
3.07,0.42,
4.97,0.63,
2.03,1.83,
2.87,-0.4,
2.29,-0.9,
2.3,0.7,
1.98,1.42,
2.93,2,
3.22,2.39,
2.55,0.4,
3.35,0.5,
1.86,1.6,
2.28,0.43,
2.57,1.09,
2.19,1.44,
3.27,0.9,
3.22,0.61,
1.43,2.18,
3.89,1.49,
3.99,1.39,
3.42,2.38,
4.18,2.66,
3,1.4,
2.76,1.73,
3.6,0.38,
2.72,-0.01,
3.85,0.17,
3.61,2.53,
2.44,1.68,
3.31,1.66,
3.4,1.44,
3.29,1.52,
3.39,1.22,
2.25,0.62,
2.64,1.27,
4.86,1.35,
1.75,1.75,
2.69,2.05,
3.1,0.65,
1.18,0.3,
2.24,3.01,
3.66,0.61,
2.89,0.53,
3.42,0.93,
2.68,3.03,
3.5,1.18,
3.93,-0.62,
3.59,1.66,
2.78,0.51,
3.89,-0.26,
2.56,1.77,
4.08,0.63,
3.66,1.81,
3.91,2.11,
3.46,1.69,
4.91,0.87,
2.79,2.01,
3.46,0.66,
3.25,2.23,
4.57,1.81,
3.11,1,
4.41,0.51,
3.32,0.56,
3.51,1.53,
2.45,0.65,
3.52,2,
2.16,0.19,
2.66,1.19,
4.83,0.6,
2.26,1.41,
3.16,-0.21,
3.17,1.89,
3.13,0.04,
3.94,2.2,
2.7,1.09,
2.62,0.38,
2.62,0.03,
2.54,0.71,
3.16,1.32,
2.99,0.66,
2.44,0.83,
1.17,0.15,
